year,round,position,driver_id,points
2021,1,1,lewis_hamilton,25
2021,1,2,max_verstappen,18
2021,1,3,valtteri_bottas,16
2021,1,4,lando_norris,12
2021,1,5,sergio_perez,10
2021,1,6,charles_leclerc,8
2021,1,7,daniel_ricciardo,6
2021,1,8,carlos_sainz,4
2021,1,9,yuki_tsunoda,2
2021,1,10,lance_stroll,1
2021,1,11,kimi_raikkonen,0
2021,1,12,antonio_giovinazzi,0
2021,1,13,esteban_ocon,0
2021,1,14,george_russell,0
2021,1,15,sebastian_vettel,0
2021,1,16,mick_schumacher,0
2021,1,17,pierre_gasly,0
2021,1,18,nicholas_latifi,0
2021,2,1,lewis_hamilton,44
2021,2,2,max_verstappen,43
2021,2,3,lando_norris,27
2021,2,4,charles_leclerc,20
2021,2,5,valtteri_bottas,16
2021,2,6,carlos_sainz,14
2021,2,7,daniel_ricciardo,14
2021,2,8,sergio_perez,10
2021,2,9,lance_stroll,5
2021,2,10,pierre_gasly,6
2021,2,11,yuki_tsunoda,2
2021,2,12,esteban_ocon,2
2021,2,13,fernando_alonso,1
2021,2,14,kimi_raikkonen,0
2021,2,15,antonio_giovinazzi,0
2021,2,16,george_russell,0
2021,2,17,sebastian_vettel,0
2021,2,18,mick_schumacher,0
2021,2,19,nikita_mazepin,0
2021,2,20,nicholas_latifi,0
2021,3,1,lewis_hamilton,69
2021,3,2,max_verstappen,61
2021,3,3,lando_norris,37
2021,3,4,valtteri_bottas,32
2021,3,5,charles_leclerc,28
2021,3,6,sergio_perez,22
2021,3,7,daniel_ricciardo,16
2021,3,8,carlos_sainz,14
2021,3,9,esteban_ocon,8
2021,3,10,pierre_gasly,7
2021,3,11,lance_stroll,5
2021,3,12,fernando_alonso,5
2021,3,13,yuki_tsunoda,2
2021,3,14,kimi_raikkonen,0
2021,3,15,antonio_giovinazzi,0
2021,3,16,sebastian_vettel,0
2021,3,17,george_russell,0
2021,3,18,mick_schumacher,0
2021,3,19,nikita_mazepin,0
2021,3,20,nicholas_latifi,0
2021,4,1,lewis_hamilton,94
2021,4,2,max_verstappen,80
2021,4,3,valtteri_bottas,47
2021,4,4,lando_norris,41
2021,4,5,charles_leclerc,40
2021,4,6,sergio_perez,32
2021,4,7,daniel_ricciardo,24
2021,4,8,carlos_sainz,20
2021,4,9,esteban_ocon,10
2021,4,10,pierre_gasly,8
2021,4,11,lance_stroll,5
2021,4,12,fernando_alonso,5
2021,4,13,yuki_tsunoda,2
2021,4,14,kimi_raikkonen,0
2021,4,15,antonio_giovinazzi,0
2021,4,16,sebastian_vettel,0
2021,4,17,george_russell,0
2021,4,18,mick_schumacher,0
2021,4,19,nicholas_latifi,0
2021,4,20,nikita_mazepin,0
2021,5,1,max_verstappen,105
2021,5,2,lewis_hamilton,101
2021,5,3,lando_norris,56
2021,5,4,valtteri_bottas,47
2021,5,5,sergio_perez,44
2021,5,6,charles_leclerc,40
2021,5,7,carlos_sainz,38
2021,5,8,daniel_ricciardo,24
2021,5,9,pierre_gasly,16
2021,5,10,esteban_ocon,12
2021,5,11,sebastian_vettel,10
2021,5,12,lance_stroll,9
2021,5,13,fernando_alonso,5
2021,5,14,yuki_tsunoda,2
2021,5,15,antonio_giovinazzi,1
2021,5,16,kimi_raikkonen,0
2021,5,17,george_russell,0
2021,5,18,nicholas_latifi,0
2021,5,19,mick_schumacher,0
2021,5,20,nikita_mazepin,0
2021,6,1,max_verstappen,105
2021,6,2,lewis_hamilton,101
2021,6,3,sergio_perez,69
2021,6,4,lando_norris,66
2021,6,5,charles_leclerc,52
2021,6,6,valtteri_bottas,47
2021,6,7,carlos_sainz,42
2021,6,8,pierre_gasly,31
2021,6,9,sebastian_vettel,28
2021,6,10,daniel_ricciardo,26
2021,6,11,fernando_alonso,13
2021,6,12,esteban_ocon,12
2021,6,13,lance_stroll,9
2021,6,14,yuki_tsunoda,8
2021,6,15,kimi_raikkonen,1
2021,6,16,antonio_giovinazzi,1
2021,6,17,mick_schumacher,0
2021,6,18,george_russell,0
2021,6,19,nikita_mazepin,0
2021,6,20,nicholas_latifi,0
2021,7,1,max_verstappen,131
2021,7,2,lewis_hamilton,119
2021,7,3,sergio_perez,84
2021,7,4,lando_norris,76
2021,7,5,valtteri_bottas,59
2021,7,6,charles_leclerc,52
2021,7,7,carlos_sainz,42
2021,7,8,pierre_gasly,37
2021,7,9,daniel_ricciardo,34
2021,7,10,sebastian_vettel,30
2021,7,11,fernando_alonso,17
2021,7,12,esteban_ocon,12
2021,7,13,lance_stroll,10
2021,7,14,yuki_tsunoda,8
2021,7,15,kimi_raikkonen,1
2021,7,16,antonio_giovinazzi,1
2021,7,17,george_russell,0
2021,7,18,mick_schumacher,0
2021,7,19,nikita_mazepin,0
2021,7,20,nicholas_latifi,0
2021,8,1,max_verstappen,156
2021,8,2,lewis_hamilton,138
2021,8,3,sergio_perez,96
2021,8,4,lando_norris,86
2021,8,5,valtteri_bottas,74
2021,8,6,charles_leclerc,58
2021,8,7,carlos_sainz,50
2021,8,8,pierre_gasly,37
2021,8,9,daniel_ricciardo,34
2021,8,10,sebastian_vettel,30
2021,8,11,fernando_alonso,19
2021,8,12,lance_stroll,14
2021,8,13,esteban_ocon,12
2021,8,14,yuki_tsunoda,9
2021,8,15,kimi_raikkonen,1
2021,8,16,antonio_giovinazzi,1
2021,8,17,george_russell,0
2021,8,18,mick_schumacher,0
2021,8,19,nikita_mazepin,0
2021,8,20,nicholas_latifi,0
2021,9,1,max_verstappen,182
2021,9,2,lewis_hamilton,150
